,Title,Published_date,Views,Likes,Dislikes,Comments,Month
88,"Rihaayi De - Lyric Video|Mimi|Kriti Sanon, Pankaj Tripathi|A. R. Rahman|Amitabh B.",2021-08-03,656812,10575,348,402,Aug
89,A.R. Rahman & Gulzar - Meri Pukaar Suno | Lyric Video (English),2021-08-02,132709,1673,121,45,Aug
90,A.R. Rahman & Gulzar - Meri Pukaar Suno Lyric Video (हिंदी),2021-08-02,51798,1612,89,79,Aug
91,"Param Sundari - Official Lyric Video|Mimi|Kriti,Pankaj T.|A. R. Rahman|Shreya Amitabh",2021-07-27,75324868,559783,49802,6397,Jul
92,Tu Lagdi Hot - Official Lyric Video | Sanam Puri | The Successful Loosers,2021-07-23,145816,1477,416,76,Jul
93,Fakeer Bandeya - Official Lyric Video | Gajendra Verma | The Successful Loosers,2021-07-23,39007,532,51,22,Jul
94,Jugaad ki Zindagi - Official Lyric Video | Parry G | The Successful Loosers,2021-07-23,28162,638,106,40,Jul
95,Udne Do - Official Lyric Video | Shaan | The Successful Loosers,2021-07-23,33115,821,76,46,Jul
96,Parindey - Official Lyric Video | Mohammed Irfan | The Successful Loosers,2021-07-23,30907,1053,60,64,Jul
97,Vayu - Tohfa | Official Lyric Video,2021-07-09,152166,2297,197,109,Jul
98,Abeer Arora & Manj Musik - Beja Beja | Official Lyric Video,2021-06-25,223743,2923,422,114,Jun
99,Nadiyon Paar - Full Song - Roohi | Janhvi Kapoor| Sachin-Jigar | Shamur | Rashmeet K,2021-06-01,120398659,767081,78120,13344,Jun
